timestamp,can_id,signal,value,label
1769455115.0269475,0x103,brake,0.0,replay
1769455115.301732,0x100,speed,0.0,replay
1769455115.301732,0x101,steering,0.0,replay
1769455115.301732,0x102,throttle,0.0,replay
1769455115.301732,0x103,brake,0.0,replay
1769455116.6075156,0x100,speed,0.0,replay
1769455116.6075156,0x101,steering,0.0,replay
1769455116.6075156,0x102,throttle,0.0,replay
1769455116.6075156,0x103,brake,0.0,replay
1769455116.6783261,0x100,speed,0.0,replay
1769455116.6783261,0x101,steering,0.0,replay
1769455116.6783261,0x102,throttle,0.0,replay
1769455116.6783261,0x103,brake,0.0,replay
1769455116.8947465,0x100,speed,0.0,replay
1769455116.8947465,0x101,steering,0.0,replay
1769455116.8947465,0x102,throttle,0.0,replay
1769455116.8947465,0x103,brake,0.0,replay
1769455117.0273933,0x100,speed,0.0,replay
1769455117.0273933,0x101,steering,0.0,replay
1769455117.0273933,0x102,throttle,0.0,replay
1769455117.0273933,0x103,brake,0.0,replay
1769455117.1286879,0x100,speed,0.0,replay
1769455117.1286879,0x101,steering,0.0,replay
1769455117.1286879,0x102,throttle,0.0,replay
1769455117.1286879,0x103,brake,0.0,replay
1769455117.2463746,0x100,speed,0.0,replay
1769455117.2463746,0x101,steering,0.0,replay
1769455117.2463746,0x102,throttle,0.0,replay
1769455117.2463746,0x103,brake,0.0,replay
1769455117.473879,0x100,speed,0.0,replay
1769455117.473879,0x101,steering,0.0,replay
1769455117.473879,0x102,throttle,0.0,replay
1769455117.473879,0x103,brake,0.0,replay
1769455117.5656378,0x100,speed,0.0,replay
1769455117.5656378,0x101,steering,0.0,replay
1769455117.5656378,0x102,throttle,0.0,replay
1769455117.5656378,0x103,brake,0.0,replay
1769455117.7461534,0x100,speed,0.0,replay
1769455117.7461534,0x101,steering,0.0,replay
1769455117.7461534,0x102,throttle,0.0,replay
1769455117.7461534,0x103,brake,0.0,replay
1769455117.8139737,0x100,speed,0.0,replay
1769455117.8139737,0x101,steering,0.0,replay
1769455117.8139737,0x102,throttle,0.0,replay
